pid,date,f_wifi:phone_wifi_connected_rapids_countscans:14dhist,f_wifi:phone_wifi_connected_rapids_uniquedevices:14dhist,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice:14dhist,f_wifi:phone_wifi_connected_rapids_countscans_dis:14dhist,f_wifi:phone_wifi_connected_rapids_uniquedevices_dis:14dhist,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_dis:14dhist,f_wifi:phone_wifi_connected_rapids_countscans_norm:14dhist,f_wifi:phone_wifi_connected_rapids_uniquedevices_norm:14dhist,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_norm:14dhist,f_wifi:phone_wifi_connected_rapids_countscans:7dhist,f_wifi:phone_wifi_connected_rapids_uniquedevices:7dhist,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice:7dhist,f_wifi:phone_wifi_connected_rapids_countscans_dis:7dhist,f_wifi:phone_wifi_connected_rapids_uniquedevices_dis:7dhist,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_dis:7dhist,f_wifi:phone_wifi_connected_rapids_countscans_norm:7dhist,f_wifi:phone_wifi_connected_rapids_uniquedevices_norm:7dhist,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_norm:7dhist,f_wifi:phone_wifi_connected_rapids_countscans:afternoon,f_wifi:phone_wifi_connected_rapids_uniquedevices:afternoon,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice:afternoon,f_wifi:phone_wifi_connected_rapids_countscans_dis:afternoon,f_wifi:phone_wifi_connected_rapids_uniquedevices_dis:afternoon,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_dis:afternoon,f_wifi:phone_wifi_connected_rapids_countscans_norm:afternoon,f_wifi:phone_wifi_connected_rapids_uniquedevices_norm:afternoon,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_norm:afternoon,f_wifi:phone_wifi_connected_rapids_countscans:allday,f_wifi:phone_wifi_connected_rapids_uniquedevices:allday,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice:allday,f_wifi:phone_wifi_connected_rapids_countscans_dis:allday,f_wifi:phone_wifi_connected_rapids_uniquedevices_dis:allday,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_dis:allday,f_wifi:phone_wifi_connected_rapids_countscans_norm:allday,f_wifi:phone_wifi_connected_rapids_uniquedevices_norm:allday,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_norm:allday,f_wifi:phone_wifi_connected_rapids_countscans:evening,f_wifi:phone_wifi_connected_rapids_uniquedevices:evening,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice:evening,f_wifi:phone_wifi_connected_rapids_countscans_dis:evening,f_wifi:phone_wifi_connected_rapids_uniquedevices_dis:evening,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_dis:evening,f_wifi:phone_wifi_connected_rapids_countscans_norm:evening,f_wifi:phone_wifi_connected_rapids_uniquedevices_norm:evening,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_norm:evening,f_wifi:phone_wifi_connected_rapids_countscans:morning,f_wifi:phone_wifi_connected_rapids_uniquedevices:morning,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice:morning,f_wifi:phone_wifi_connected_rapids_countscans_dis:morning,f_wifi:phone_wifi_connected_rapids_uniquedevices_dis:morning,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_dis:morning,f_wifi:phone_wifi_connected_rapids_countscans_norm:morning,f_wifi:phone_wifi_connected_rapids_uniquedevices_norm:morning,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_norm:morning,f_wifi:phone_wifi_connected_rapids_countscans:night,f_wifi:phone_wifi_connected_rapids_uniquedevices:night,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice:night,f_wifi:phone_wifi_connected_rapids_countscans_dis:night,f_wifi:phone_wifi_connected_rapids_uniquedevices_dis:night,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_dis:night,f_wifi:phone_wifi_connected_rapids_countscans_norm:night,f_wifi:phone_wifi_connected_rapids_uniquedevices_norm:night,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_norm:night,f_wifi:phone_wifi_connected_rapids_countscans:weekday,f_wifi:phone_wifi_connected_rapids_uniquedevices:weekday,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice:weekday,f_wifi:phone_wifi_connected_rapids_countscans_dis:weekday,f_wifi:phone_wifi_connected_rapids_uniquedevices_dis:weekday,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_dis:weekday,f_wifi:phone_wifi_connected_rapids_countscans_norm:weekday,f_wifi:phone_wifi_connected_rapids_uniquedevices_norm:weekday,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_norm:weekday,f_wifi:phone_wifi_connected_rapids_countscans:weekend,f_wifi:phone_wifi_connected_rapids_uniquedevices:weekend,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice:weekend,f_wifi:phone_wifi_connected_rapids_countscans_dis:weekend,f_wifi:phone_wifi_connected_rapids_uniquedevices_dis:weekend,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_dis:weekend,f_wifi:phone_wifi_connected_rapids_countscans_norm:weekend,f_wifi:phone_wifi_connected_rapids_uniquedevices_norm:weekend,f_wifi:phone_wifi_connected_rapids_countscansmostuniquedevice_norm:weekend
INS-W_320,2019-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS-W_320,2019-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
